ID,LapID,ExactTimeOfLap,Speed,Gear,"Position(X,Y)",RPM,Throttle,Brake,Distance,RelativeDistance
0,0,0 days 00:01:15.573000,271.0,7,"(5694.2899512879485, -483.11110652203877)",11020.0,100.0,False,3838.963611111111,0.7075790791267923
0,0,0 days 00:01:15.701000,272.06666666666666,7,"(5766.0, -543.0)",10914.4,100.0,False,3848.648303659722,0.7093641144981456
0,0,0 days 00:01:15.813000,273.0,7,"(5828.9959379619895, -595.5513333928072)",10822.0,100.0,False,3857.1636111111115,0.7109336145026514
0,0,0 days 00:01:16.001000,275.35,7,"(5934.0, -686.0)",11086.766666666666,100.0,False,3871.5638459700313,0.7135877956705046
0,0,0 days 00:01:16.053000,276.0,7,"(5962.481498540625, -712.120680384817)",11160.0,100.0,False,3875.563611111111,0.7143250129046187
0,0,0 days 00:01:16.293000,278.0,7,"(6092.595425948078, -842.2218722935174)",11112.0,100.0,False,3894.0969444444454,0.717740986657325
0,0,0 days 00:01:16.301000,278.06666666666666,7,"(6097.0, -847.0)",11118.566666666668,100.0,False,3894.7167538837725,0.7178552269150456
0,0,0 days 00:01:16.533000,280.0,7,"(6226.221520812792, -998.533943631367)",11309.0,100.0,False,3912.7636111111115,0.72118153576077
0,0,0 days 00:01:16.602000,280.86610867904966,7,"(6263.0, -1047.0)",11317.949789683513,100.0,False,3918.1707537089696,0.7221781539545519
0,0,0 days 00:01:16.772000,283.0,7,"(6347.819357784931, -1171.3014847217285)",11340.0,100.0,False,3931.551666666667,0.7246444586731171
0,0,0 days 00:01:16.902000,283.64676618816367,7,"(6405.0, -1265.0)",11374.278607972674,100.0,False,3941.7980110527074,0.7265330149762053
0,0,0 days 00:01:16.973000,284.0,7,"(6432.795375292143, -1313.8980611937739)",11393.0,100.0,False,3947.4083333333333,0.7275670822597399
0,0,0 days 00:01:17.202000,285.9083328,7,"(6511.0, -1469.0)",11525.6291296,100.0,False,3965.598439744547,0.7309197940974903
0,0,0 days 00:01:17.213000,286.0,7,"(6514.650322882684, -1476.8972192354295)",11532.0,100.0,False,3966.4749999999995,0.7310813574154016
0,0,0 days 00:01:17.502000,287.8062496,7,"(6605.0, -1690.0)",11515.7437536,100.0,False,3989.585855624708,0.7353410377868002
0,0,0 days 00:01:17.533000,288.0,7,"(6613.050716522692, -1710.5248810803212)",11514.0,100.0,False,3992.075,0.7357998247572693
0,0,0 days 00:01:17.773000,290.0,7,"(6666.359073627829, -1858.0862515459191)",11514.0,100.0,False,4011.408333333333,0.7393632506144089
0,0,0 days 00:01:17.802000,290.12083306666665,7,"(6673.0, -1878.0)",11412.621057066666,100.0,False,4013.7499774970584,0.7397948510641281
0,0,0 days 00:01:18.013000,291.0,8,"(6725.463795239417, -2043.3279265529322)",10675.0,100.0,False,4030.8083333333334,0.742938964146918
0,0,0 days 00:01:18.102000,291.0,8,"(6748.0, -2116.0)",10581.179234133333,100.0,False,4038.0037078836062,0.744265180546448
0,0,0 days 00:01:18.253000,291.0,8,"(6785.285274441105, -2236.660594787966)",10422.0,100.0,False,4050.208333333333,0.7465146776794269
0,0,0 days 00:01:18.402000,291.0,8,"(6819.0, -2346.0)",10507.054130133334,100.0,False,4062.2475741017793,0.7487336919132861
0,0,0 days 00:01:18.493000,291.0,8,"(6837.169351983972, -2404.9074431754434)",10559.0,100.0,False,4069.6083333333327,0.7500903912119359
